TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,sha256
,83,tayo-tailor,tayo tailor,A professional fashion designer.,Male,hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated;,70828783-ac38-48cf-b966-cfebc92ebd86,f03f05032f7bf14f4efc84fbd708a4bde46d94e6b70e97f6d3958bc053966c3c
,84,ajasco-comedian,ajasco comedian,A newbie comedian.,Male,hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant;,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,84d7ff8be94036ab9842b9d0459b5fac6835e24c753f742efa3a73dbc9f4a9df
,85,tobi-babyboy,tobi babyboy,A guy who does not like stress.,Male,hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries;,3da592d4-5dec-4bc5-8412-f1b2a0269f95,fb067960f59fce3a51460440022d5aaa72a2913d8e899f552be0cfd143aa4697
,86,esther-sassy,esther sassy,A rude lady.,Female,hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace & earrings; expression: bold; strength: confident; weakness: judgemental;,0642a25a-966d-446f-b021-a6d18e7fa0c5,ef04e436f3d45816fc707a1de2e602bc96329bb9281cb0d5870ff7073b1258bd
,87,ozo-fineboi,ozo fineboi,A charming person.,Female,hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker & hookah; expression: blank; strength: charismatic; weakness: proud;,f2286b4d-fae6-48cb-a686-badec16da1d8,61f0029e9461943670e8d5054db6d5081cf1e689e34eff45666b0efb6cc9274b
,88,ade-party-girl,ade party girl,The life of every party.,Female,hair: brown; eyes: blue; teeth: gap-tooth; clothing: one-sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive;,7e3db30c-9faf-430d-ab48-b854fe0456b9,f1f65db810c59c57be951b092e65a1846037799399378a72cfe8140f3562b938
,89,john-casco,john casco,A very observant person.,Female,hair: black; eyes: blue; teeth: none  clothing: one-sleeved ankara top; accessories: earrings & necklace  expression: shocked; strength: unpredictable; weakness: loner;,2eff88ef-5bc2-4779-917a-533e952e2953,d361ce637fa88683d999f6b9811577b612c200c9559bbf5349ed9214267613fe
,90,agha-uwa,agha uwa,A woman of high social class.,Female,hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap & full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner;,8478a002-1eba-4a05-8b98-7170c6e39254,eb30c7ac2fd8bcf146844307228689c2c80694ff9fdc1895f53ec9679f7d4e32
,91,udeme-great,udeme great,A lady given to adventures.,Female,hair: purple; eyes: black; teeth: none  clothing: ankara top with blue sleeves; accessories: green necklace & green earrings  expression: clueless; strength: decisive; weakness: stubborn;,d1476409-6f8b-4be9-8c93-24d9123749c5,24dc060945ab2a7d44426d4cbcea780b893348d7813de283bc911c8ea4e30daa
,92,femi-tech-bro,femi tech bro,A rookie in the tech industry.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination;,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,ef8bf8d80a9d7b95aba02e503671017f2330df481ff56023c9994da2d2150354
,93,sai-baba,sai baba,A leader of a third-world country,Female,hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings & necklace; expression: anxious; strength: trend spotter; weakness: distracted easily;,fdfff369-5b57-4612-9f89-f5d408f24a35,2d4d77a0cc181ccfaed85f9f6d996949197d768e8dc7bd6a3ed19553609d93d4
,94,omo-pastor,omo pastor,A devout christian.,Female,hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings & green necklace; expression: happy; strength: happiness; weakness: too emotional;,49e09559-61a6-41ff-811a-272721a7475c,575adb6220abeaa47ac48a60a6fe8d16c314890e227dd0f59bb36d4edc5d3507
,95,obi-container,obi container,A rich south-easterner.,Female,hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker;,4b64cf48-94fa-4aed-8cf2-452974b48ee3,876c9838dcab7df554413bd2a722662aa811e8bc9f3b7b3356f061c9aabfc701
,96,erigga-international,erigga international,Superstar from South-South.,Female,hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace & red scrunchie; expression: curious; strength: talented; weakness: overconfident;,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,ebe4fbc3793ad409a8acc94b603c4afafec9a34df9c32e6ff845a73893f82d3d
,97,ayo-web3-bro,ayo web3 bro,Someone with no actual knowledge of basic computer principles.,Female,hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate;,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,65e2ad4261cccdc826099024c1a9b0b76523446a1098f989185ece506c15e074
,98,phoebe-queen-bee,phoebe queen bee,"A self-centred woman, who only thinks about herself",Female,hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible;,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,ad14bd020f44e9c14e84ec6fe5eea162b9b5715086f7d6f5a1622f53c9147b95
,99,rachel-warri-babe,rachel warri babe,A highly disciplined woman.,Female,hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative;,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,6919a04f512a1bfd0f12883e93d8436dd63400256a5ae60d3bdefdbe55acbb9d
,100,adun-preacher,adun preacher,A religious woman.,Female,hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet & hookah;  expression: blank; strength: bold; weakness: fake ;,cc4dfedf-c343-48db-ad67-e39452ec2380,70e5c78384a1374408d8f0b4a3c968151589af82ef4765b5d9417d83c3a978b5
TEAM CHISEL,101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth.,Female,hair: brown; eyes: opened; teeth: white; clothing: ankara print ; accessories:none ; expression: staring; strength: bold; outspoken; weakness: pride;,fbf43611-f267-4cba-bf4b-a3ffdc122589,6757c8a5baed144a4410a3288d7fdf45337fd9e8d5a737d8681ce5af4f45fb3d
,102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party.,Female,hair: black; eyes: blue;opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl;,e7c32b06-7022-49b4-bbe5-81e8c1d58583,56e8d730bd4b95cf081416fd024ea67daed3d165f935d5b8d1557ea492158bec
,103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family.,Male,hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking;,e57d8985-599e-49da-8d62-fc16b7ac93f2,1e2d2d96a51f041f36fbc668e9f752de6bbb2a4b007e7c5af8f91ebaa9a07ae0
,104,farida-the-tivlady,farida the tivlady,Farida is a beautiful Tiv woman.,Female,hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking;,31d3e229-003e-43c8-ba82-38f49cf58ccb,b72160052921ca27b3514e1ff809b0aebb5401561238ab10adb72f6e04167269
,105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir.,Female,hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading;,281f5bd7-5282-458b-9811-e369980e7dee,51c83b02e9139b88bd5c6bc3b95d35456289d7f2b082d323d4bc981999587e74
,106,nonso-the-igbogirl,nonso the igbogirl,Nonso is a hardworking Igbo girl.,Female,hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending;,5cfa76df-8376-4505-af12-78af24f108d6,09866d1df081b1a6c5600fff8a30c62fa7be6354eb3fc329b81bdbd5f87e5f31
,107,shade-olori,shade olori,Shade loves soft life and makeup.,Female,hair: black; eyes: blue;opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping;,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,f61d4c6149efe50c55d50f1a226188692d1c8883b24a69f83d205a6c55207914
,108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics.,Male,hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking;,d96a93e7-17a4-4efe-b09b-02185cc81ce8,5aec7b2194183e6da86dc61eafedfa52266ce066b7fdb3720929d6ef943212df
,109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events.,Male,hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none;,030f665d-2cd7-4376-aef5-4030dad9f2d6,87527babc173b7d0522dbea979bfef07b4757427c70db8907dacd03803dde8b0
,110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a yoruba demon with excellent communication skills.,Male,hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals;,e270e278-a9b5-408d-b527-d518239a997b,9aa29ab22d2e2a321f0520102df76d799a4961ca03358e2d7ea564f06b2c9f31
,111,nkechi-the-actress,nkechi the actress,Nkechi is an international actress that acts in hollywood.,Female,hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie;,34b1136d-00b1-4f29-8a03-5b02291d47d5,c00019c07d618b9855d3598c460b17794d735fd527adcbb15ae1a24c9c655bc1
,112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam doing burea de change for a living.,Male,hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic;,592eff9f-93b2-4452-a2ed-5d44ebc969db,3b2a52b98f75bfb564a672d87eb9af6d141fcb6f0544ca6793fba312468bebc9
,113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty.,Female,hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive;,d9477612-ad63-408e-8d12-24679c647b32,3c5c208b349b7d961b8286c07ab79c3509ec33ac2601bf5cbeed8b691d1226dc
,114,tunde-the-boss,tunde the boss,Tunde is a boss that loves to take charge at work.,Male,hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy;,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,79475b6a51c89cf1582cb0a920f3d9b1700196303b72b66bd6429807e966f586
,115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a barber that devotes time to perfect his craft.,Male,hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing;,152758f3-9414-45a2-a809-95cb05a3de13,1367b7916068571e015325882f6afe09b8d79aa5d0f638af665088b4759c0a0a
,116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is can never be intimidated no matter the circumstance. ,Female,hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive;,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,50729fe8667ea22da20a395c083920f1119637bf4305f837b96e82b44e50ea50
,117,kemi-foodie,kemi foodie,Kemi loves food and can also prepare good meals. ,Female,hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness;,3116cb6f-14c4-4d5a-af57-54253b72a309,618012a4479dddd824e6e02735828277702b9094dcb3579d694bd522aa1abd9b
,118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths.,Female,hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious;,a14df1c1-7a5a-4a33-8780-0fb01c593da6,cb2d295e06bb2a0adf83db053b17d2a1bfea039dc2584692ca4916bf05f4f4c4
,119,kayode-the-baller,kayode the baller,Kayode loves life and lives it.,Male,hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women;,fe17bfdc-c251-4654-8313-1ab793e11748,60f6cc5d9612544494d58cfed89c1e3de22172df9f4f841331b48f0e929d2b1e
,120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is.,Male,hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy;,df295be1-1509-406e-a263-28a5dee0abca,6f9d5d5f998d0bf4b2282afc1b85616f17462200163d806faa75ee6da8ceb00e
TEAM BRAINBOX,121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader.,Male,hair: none; eyes: blue; teeth: none; clothings: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness shy;,7ebde325-8efc-4997-811a-b5686269929e,db7167abdd4dd59601dab8d60705ae8511e9866c118ca69b2fa84d1215d3476f
,122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is such a sweet guy loves by all. ,Male,hair:none ;eyes: black;teeth:small open teeth; clothings: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger;,c136a120-a339-4080-96ca-1c93845c5848,39006dcad2985e9195712dde6f2fbfbb2c9baa477167747b789b7d3e349d1a73
,123,yakubu-village-chief,yakubu village chief,Yakubu is the best village chieftain.,Male,hair:none ;eyes: blue;teeth:open white teeth; clothings: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience;,5b0c0d26-d204-4264-b579-081ff9df935b,e21dba5aead67c45fd2e60fbb94f42a1387d119c9caa81e153db74519be99c8b
,124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking cigarettes.,Male,hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothings: mixed colors ankara wear; accessories:none; expression:happy; strength:strong; weakness:anger;,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,5d93cd7e72c796c0f8e447d37a950c26e01aea18b0bb94727c6e7eb35a746a38
,125,johnathan-good-leader,johnathan good leader,Johnathan is very progressive young man.,Male,hair:punk bearded man ;eyes: closed; teeth:none; clothings: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride;,241e3713-4ce3-48d0-827f-b282ae2db6c4,fddc84e3e248eab253a03116f45bcbc838b4589bb0096f6836976c9b0d41714f
,126,johnathan-genz-kid,johnathan genz kid,Johnathan is zealous.,Male,hair:none ;eyes: blue;teeth: white; clothings: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance;,90c0ae09-a35f-42ad-b93c-dcf30169acd9,2c42ce49bdbee428e3ea6be8d029e0a750940a47884658a6ef8ac4feaf3e4126
,127,eddy-the-community,eddy the community,Eddy has so much positive energy.,Male,hair:none ;eyes: blue; teeth:none; clothings: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional;,5cabf9d9-882b-459e-9253-8c07eb045e2d,14b7bb26680bdac2f23639a7fce6168dca88a81e00342903d5189174cb510d2e
,128,olu-the-oba,olu the oba,Olu the great ruler in our land.,Male,hair: purple braided hair ;eyes: black; teeth: none; clothings: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger;,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,14456a772389da0fad4f151bd0aa6cb390c33f6ead24d9d45fce65c56fdc9cd0
,129,edu-the-biggest-trader,edu the biggest trader,Edu is the biggest merchant in west coast.,Male,hair:none ;eyes: blue; teeth:closed; clothings: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience;,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,6eabb3da9e8a7d1319e012baa9b371c8e84039e11b3aedf7566c730d56109cfa
,130,james-importer-and-exporter,james importer and exporter,James is the sole importer and exporter of spare parts.,Male,hair:none ;eyes: blue;teeth:none; clothings: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride;,22541251-022f-480c-8c1e-cf754dce16d6,f4e050f5f648418d11fe8c1213f0f268abe9a02bbe17e1156a80f4ad612c71ce
,131,lanre-the-dreaded-guy,lanre the dreaded guy,Lanre has a great reputation.,Male,hair: none ;eyes: none; teeth:white; clothings: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger;,66a054cd-5541-4000-98aa-8f2e9892d880,733f0c3a68b7ceddac4e7cf748d65179072a8a6a37d3500b274ff8bd9d563a8b
,132,olamide-the-street-boy,olamide the street boy,Olamide has a sweet voice.,Male,hair:none ;eyes: white; teeth: none; clothings: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn;,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,051a9269145d735e93e6397e51ad12639e3a2761db7bcc4ffb8a8d4f721bfb8f
,133,uche-peace-loving-man,uche peace loving man,Uche man of peace and discipline.,Male,hair: yellow ;eyes: blue;teeth:none; clothings: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional;,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,37b01c495001678c661e714f054df2a543dedba2804a0421cbe40429ddf08d20
,134,dave-the-tech-bro,dave the tech bro,Dave is a web3 enthusiast.,Male,hair: none ;eyes: none; teeth:white; clothings: none; accessories:cap; expression: serious face; strength:strong; weakness:none;,c0857b11-bf0e-46a4-9108-b8eb93d83e74,f960b340510ddfbc50c7edaf8568b85c90eeceb694e73450dcbd0e93ed624bfe
,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,Obi loves service to humanity.,Male,hair:none ;eyes: blue; teeth:white; clothings: brown; accessories:cap; expression:happy; strength: strong; weakness:none;,201a408c-7a2e-42d9-a62c-0136c885c211,b129ecb8d2a9f9ee76767bdd37574d588ae4c8d8e60fcd41ca06fae6d81e0aa0
,136,precious-the-emotional-girl,precious the emotional girl,Precious is soft hearted and sensitive.,Female,hair:none ;eyes: white; teeth: white; clothings: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none;,b6a41ff1-51ce-42f7-9933-85d0a22ced68,f937c567358c68c5422b6cb8af5b48c5864c148d3b4efa291682b214ab9ac249
,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady.,Female,hair: none ;eyes: white;teeth: white; clothings: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none;,04036447-f43e-4bfb-9503-f55c9064b14e,07af1d46978bd3454d601bfaef85407f9bdb009cc6dfea61a4662c916d47b2ea
,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with priceless cute eyes.,Female,hair:yellow ;eyes: blue;teeth:none; clothings: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride;,5d12847b-6d71-4691-8337-2e6ef3e283b2,6b2daae25d529fa4e5ff42d35a3c7149ca47f6a0abc5aad5fca0a322dea70245
,139,mary-with-hair,mary with hair,Mary with her beautiful Afro.,Female,hair: none;eyes: none;teeth:none; clothings: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful;,98035e8b-6540-4464-8a3c-fdac9f07b168,b59aa6ae1290eeaa06484437f0f1998c0561d1c093f0a5fc8a5a76b764b5c688
,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum.,Female,hair: none;eyes: none;teeth: white; clothings: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive;,15309dc5-e483-4658-b503-db85ba2c1722,de7d5f90f82a940219b3bd0cd7907061e995866e553072de7a945043b8548ebb
TEAM PLUG,141,viganem-the-drummer-girl,viganem the drummer girl,Known for typically playing the drum for 5 hours per day without a break.,Female,hair: none;  eyes: none;  teeth: none;  clothing: ankara with drum patterns;  accessories: none;  expression: sumg;  strength: none;  weakness: none;,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,44383348c0a8f26e2efc4ecefa097f0be14d0463723884cdc25875280390923e
,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair: purple;  eyes: none;  teeth: none;  clothing: black and blue ankara;  accessories: none;  expression: serious;  strength: none;  weakness: none;,e564a43a-ef77-487d-a88e-749d20a09fd8,fdae47bb518810b0885966db7d319af03dd85e29879cf99ac2e1c270e8c490bf
,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair: purple;  eyes: none;  teeth: none;  clothing: black ankara with yellow and blue gear pattern;  accessories: none;  expression: chill; strength: none;  weakness: none;,6dc7e452-0626-4f4c-a28c-f5db3532e305,9765ec18801a24d934d1caf98c46b6c6975a55c27e6f59c6a67466cba598f6ac
,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair: brown afro;  eyes: none;  teeth: none;  clothing: black ankara with yellow; peach; and blue gear pattern;  accessories: none;  expression: unbothered;  strength: none;  weakness: none;,221263d0-8775-49f8-bbf8-4b08b49e1482,fb27354d892da77da2e53bba3ee522fd60d7f01114dc5dab8ce0cfe629fad11b
,145,akinyim-the-clown,akinyim the clown,"The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.",Female,hair: burgundy dreadlocks;  eyes: none;  teeth: none;  clothing: kente blouse with asymmetric neckline;  accessories: none;  expression: off-standish;  strength: none;  weakness: none;,c1070dce-48a1-4ae8-b9a4-d070859a8377,0a3ea66b1ebf11b08c66ebeaf6121352ecd5de67fd6ff10117f1057ccd344f0d
,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair: brown; eyes: none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none;,c22489fe-574b-47f3-9667-c9c798b2d4df,d8c97159cac83c9254e975af289b557307a33b17c98e47f844ecdcb8d53f81e2
,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair: burgundy fila cap;  eyes: none;  teeth: none;  clothing: black and kente patterned agbada;  accessories: none;  expression: sleepy;  strength: none;  weakness:none;,1a91e778-d214-476b-a667-94e9ecb8b5ce,03d92ce079e3d32e84157cee9e8c9ef6c0dbad5736c4952939efecee7b06e3cc
,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair: face; cap: turned to the side;  eyes: none;  teeth: none;  clothing: yellow and blue ankara;  accessories: none;  expression: warm;  strength: none;  weakness: none;,8177cf38-8284-4eb4-b19c-04473bcb3b5e,12603f42dd97e95779e3f9265606b701983810bd3333598c8ee95e8279bd85fe
,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair: blue cap;  eyes: none;  teeth: none;  clothing: green top with blue overalls;  accessories: none;  expression: fear;  strength: none; weakness: none;,0554bf35-f588-4009-aafc-ef875b878c29,b5a9b826462fe658f1dc65df8ee99ff786fefde5a63091a94dea4727567d08c2
,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair: brown;  eyes: none;  teeth: none;  clothing: brown shirt with dog pattern;  accessories: none;  expression: smirking   strength: none;  weakness: none;,33ba8e73-7949-4bc7-ba27-37ee1d573946,a877bba2d072375030200cca8aea69ce2fb2e53bbc6e0981fbc23f1f80232dde
,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair: teal cap with black and white stripes;  eyes: none;  teeth: none;  clothing: purple shirt with yellow accent;  accessories: none;  expression: euphoric;  strength: none;  weakness: none;,1fb33783-4898-48cf-8a73-f81afc71e1a8,694104e55ff58ed48200cb29972b169ab0eed11a31eaee3efce1ce391c38b2ca
,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair: black and red hat;  eyes: none;  teeth: none;  clothing: monostrap black ankara with yellow and red patterns;  accessories: none; expression: playful;  strength: none;  weakness: none;,7ba909bd-19a1-454d-a86c-a45e85cb94a6,4c775f7d2ee7b870d75195900fbde795a10d5b16bf463bda92a48107b3e88d4f
,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair: black and yellow cap;  eyes: none;  teeth: none;  clothing: maroon agbada with yellow accents;  accessories: none;  expression: clueless;  strength: none;  weakness: none;,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,d078f0f006d5c0fe26a0456ca3aa4c364b55cf6cef0d6cf56a8df96ffc94681e
,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair: red cap;  eyes: none;  teeth: none;  clothing: plain and patterned ankara shirt;  accessories: none;  expression: anxious;  strength: none; weakness: none;,36cd959f-d280-41f6-af76-765715c72527,b5e762dd9d29d9005e7363eea7d6a1e87d2a494a14ea3febb949f9c6a26a0465
,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is known for creating magical art pieces that can spark a smile.,Male,hair: black and yellow fila cap;  eyes: none;  teeth: none;  clothing: yelow kente shirt;  accessories: none;  expression: cheerful;  strength: none;  weakness: none;,9d262f55-73d7-4b95-9a82-42356dbb085c,4995535abcb0f321a25146eb304200d8e5720cfd0ee7fe1ed5af48babea8fec4
,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair: brown;  eyes: none;  teeth: none;  clothing: black and kente agbada; accessories: none;  expression: high; strength: none;  weakness: none;,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,07986d74803f3eaa52afffb8ac103a20eb534d3a233f279747713d6ea3c48938
,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair: burgundy cap;  eyes: none;  teeth: none;  clothing: black and kente agbada;  accessories: none;  expression: none;  strength: none;  weakness: none;,88106b92-da30-46ad-a3cc-d528683b9e33,af80f0cf96ecf62b3d4b6834ec1b2f4450b388a6a3807f66600bab9124f1ad36
,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair: orange and cream cap;  eyes: none;  teeth: none;  clothing: orange and blue denim;  accessories: none;  expression: unbothered;  strength: none;  weakness: none;,66a09968-cb92-4378-a588-49947f68c537,2b78a3bc983dacbd2fac089524b83dab4f9dea4cd7b1b4b75e1b42cd1b39f9cb
,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair: blue cap; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none;,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,252f2a96122e0b608e026df443d6e595318192b86193117fccbc446542befaf7
,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair: red hair; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none;,b07676a6-c611-410d-8426-46c9c525189a,e2db6de399e91dbbd63184df11fc8f9652dd50109a28ce8eb84d6bdbd933d6e6
TEAM HEADLIGHT,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men;,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,fbfd26e346dd7cacfb0205fc49fa67f4016aa599f04bfc8c642318148743a35a
,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair: purple shuku; eyes: none; teeth: none; clothing: adire top; expression: neutral; accessories: eye glasses; strength: caring; weakness: snake,ac721b71-cbc5-425c-851f-ee826973f0b9,0ee8f1dbd6186f293480ec7d913217044012bb506f802d27d7fba307d8e799c9
